-1000,11951,109.320629343231,11861,108.908218239029
-900,12388,111.301392623812,12179,110.358506695225
-800,12980,113.929802949009,12888,113.525327570547
-700,13133,114.599301917595,13116,114.525106417763
-600,13575,116.51180197731,13536,116.344316577992
-500,14026.5,118.433525658911,13933,118.038129432824
-400,14243,119.344040487994,13982,118.245507314232
-350,14098,118.734999052512,13958,118.143979956661
-300,14169.5,119.035708928036,14213,119.21828718783
-250,14076.5,118.644426754905,14250,119.373363863133
-200,14318.5,119.659934815292,14278,119.490585403202
-150,14337.5,119.73930014828,14267,119.444547803573
-100,14168,119.029408130932,14356,119.816526406001
-50,14649.5,121.035118870516,14253,119.385928819103
0,14360,119.833217431562,14187,119.109193599823
50,14390,119.958326097024,14490,120.374415886433
100,14443.5,120.181113324848,14289,119.536605272193
150,14320,119.666202413213,14292,119.549153071028
200,14291,119.544970617755,14352,119.799833054976
250,14193,119.134377909989,14000,118.321595661992
300,14102,118.751842090976,14178,119.07140714714
350,14078,118.650747995957,14112,118.79393923934
400,14070,118.61703081767,13990,118.27933040054
500,13908.5,117.934303745772,13728,117.166548127014
600,13572,116.498927033686,13608,116.653332571341
700,13273,115.20850663037,13166,114.743191519149
800,12955,113.820033386043,12965,113.863953909918
900,12481,111.71839597846,12389,111.305884839931
1000,11884,109.013760599293,11713,108.226614102078
